Name,Type,VarType,Description,Description:Description,Logging,Logging:Deadband,Logging:LogData,Logging:LogEvents,Logging:ValueRes,Network,Network:BuffSize,Network:SingleWriter,Network:UseBinding,Network:UseBuffering,Path
TNK6_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc1_TotalAmpMin,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc2_TotalAmpMin,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc3_TotalAmpMin,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalOxDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalOxDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalOxDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalLevDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalLevDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalLevDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalSPSDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalSPSDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalSPSDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalAcidDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalAcidDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalAcidDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
