Name,Type,VarType,Description,Description:Description,Logging,Logging:Deadband,Logging:LogData,Logging:LogEvents,Logging:ValueRes,Network,Network:BuffSize,Network:SingleWriter,Network:UseBinding,Network:UseBuffering,Path
IO_Proc2_Tempered_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc3_Boiler_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc3_Chilled_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc3_Tempered_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect1_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect1_ActlCurrentFwd,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect1_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect2_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect2_ActlCurrentFwd,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect2_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
